Path,Label,Mode
/home/tin/projects/reasoning/plain_clip/retrieval_cub_10_images_by_texts_inpaint_unsplash_query/051.Horned_Grebe/Gadwall_0096_31560.jpg,137,train
/home/tin/projects/reasoning/plain_clip/retrieval_cub_10_images_by_texts_inpaint_unsplash_query/122.Harris_Sparrow/g-KH52m2P7g.jpg,185,train
/home/tin/projects/reasoning/plain_clip/retrieval_cub_10_images_by_texts_inpaint_unsplash_query/029.American_Crow/kKtD7ZsgE0U.jpg,92,train
/home/tin/projects/reasoning/plain_clip/retrieval_cub_10_images_by_texts_inpaint_unsplash_query/107.Common_Raven/query.txt,105,train
/home/tin/projects/reasoning/plain_clip/retrieval_cub_10_images_by_texts_inpaint_unsplash_query/021.Eastern_Towhee/query.txt,146,train
/home/tin/projects/reasoning/plain_clip/retrieval_cub_10_images_by_texts_inpaint_unsplash_query/093.Clark_Nutcracker/American_Three_Toed_Woodpecker_0011_179847.jpg,80,train
/home/tin/projects/reasoning/plain_clip/retrieval_cub_10_images_by_texts_inpaint_unsplash_query/128.Seaside_Sparrow/Henslow_Sparrow_0042_796595.jpg,87,train
/home/tin/projects/reasoning/plain_clip/retrieval_cub_10_images_by_texts_inpaint_unsplash_query/144.Common_Tern/Red_Faced_Cormorant_0032_796334.jpg,78,train
/home/tin/projects/reasoning/plain_clip/retrieval_cub_10_images_by_texts_inpaint_unsplash_query/079.Belted_Kingfisher/Western_Meadowlark_0118_78820.jpg,27,train
/home/tin/projects/reasoning/plain_clip/retrieval_cub_10_images_by_texts_inpaint_unsplash_query/045.Northern_Fulmar/Horned_Grebe_0017_35073.jpg,149,train
/home/tin/projects/reasoning/plain_clip/retrieval_cub_10_images_by_texts_inpaint_unsplash_query/194.Cactus_Wren/Rock_Wren_0026_189181.jpg,51,train
/home/tin/projects/reasoning/plain_clip/retrieval_cub_10_images_by_texts_inpaint_unsplash_query/143.Caspian_Tern/California_Gull_0021_41471.jpg,22,train
/home/tin/projects/reasoning/plain_clip/retrieval_cub_10_images_by_texts_inpaint_unsplash_query/195.Carolina_Wren/Baltimore_Oriole_0100_89908.jpg,141,train
/home/tin/projects/reasoning/plain_clip/retrieval_cub_10_images_by_texts_inpaint_unsplash_query/097.Orchard_Oriole/Wilson_Warbler_0083_175253.jpg,24,train
/home/tin/projects/reasoning/plain_clip/retrieval_cub_10_images_by_texts_inpaint_unsplash_query/156.White-eyed_Vireo/Black_Capped_Vireo_0044_155819.jpg,35,train
/home/tin/projects/reasoning/plain_clip/retrieval_cub_10_images_by_texts_inpaint_unsplash_query/041.Scissor-tailed_Flycatcher/Blue_Grosbeak_0099_36828.jpg,143,train
